No.,Name,Population,Area_sq_mile
1,Rogers Park,"55,628",1.84
2,West Ridge,"77,122",3.53
3,Uptown,"57,182",2.32
4,Lincoln Square,"40,494",2.56
5,North Center,"35,114",2.05
6,Lake View,"1,03,050",3.12
7,Lincoln Park,"70,492",3.16
8,Near North Side,"1,05,481",2.74
9,Edison Park,"11,525",1.13
10,Norwood Park,"38,303",4.37
11,Jefferson Park,"26,216",2.33
12,Forest Glen,"19,596",3.2
13,North Park,"17,559",2.52
14,Albany Park,"48,396",1.92
15,Portage Park,"63,020",3.95
16,Irving Park,"51,940",3.21
17,Dunning,"43,147",3.72
18,Montclare,"14,401",0.99
19,Belmont Cragin,"78,116",3.91
20,Hermosa,"24,062",1.17
21,Avondale,"36,257",1.98
22,Logan Square,"71,665",3.59
23,Humboldt Park,"54,165",3.6
24,West Town,"87,781",4.58
25,Austin,"96,557",7.15
26,West Garfield Park,"17,433",1.28
27,East Garfield Park,"19,992",1.93
28,Near West Side,"67,881",5.69
29,North Lawndale,"34,794",3.21
30,South Lawndale,"71,399",4.59
31,Lower West Side,"33,751",2.93
32,(The) Loop[11],"42,298",1.65
33,Near South Side,"28,795",1.78
34,Armour Square,"13,890",1
35,Douglas,"20,291",1.65
36,Oakland,"6,799",0.58
37,Fuller Park,"2,567",0.71
38,Grand Boulevard,"24,589",1.74
39,Kenwood,"19,116",1.04
40,Washington Park,"12,707",1.52
41,Hyde Park,"29,456",1.61
42,Woodlawn,"24,425",2.07
43,South Shore,"53,971",2.93
44,Chatham,"31,710",2.95
45,Avalon Park,"9,458",1.25
46,South Chicago,"27,300",3.34
47,Burnside,"2,527",0.61
48,Calumet Heights,"13,088",1.75
49,Roseland,"38,816",4.82
50,Pullman,"6,820",2.12
51,South Deering,"14,105",10.9
52,East Side,"21,724",2.98
53,West Pullman,"26,104",3.56
54,Riverdale,"7,262",3.53
55,Hegewisch,"10,027",5.24
56,Garfield Ridge,"35,439",4.23
57,Archer Heights,"14,196",2.01
58,Brighton Park,"45,053",2.72
59,McKinley Park,"15,923",1.41
60,Bridgeport,"33,702",2.09
61,New City,"43,628",4.83
62,West Elsdon,"18,394",1.17
63,Gage Park,"39,540",2.2
64,Clearing,"24,473",2.55
65,West Lawn,"33,662",2.95
66,Chicago Lawn,"55,931",3.53
67,West Englewood,"29,647",3.15
68,Englewood,"24,369",3.07
69,Greater Grand Crossing,"31,471",3.55
70,Ashburn,"41,098",4.86
71,Auburn Gresham,"44,878",3.77
72,Beverly,"20,027",3.18
73,Washington Heights,"25,065",2.86
74,Mount Greenwood,"18,628",2.71
75,Morgan Park,"21,186",3.3
76,O'Hare,"13,418",13.34
77,Edgewater,"56,296",1.74
